0 qid:10025 1:0 2:0 3:0 4:0 5:0.0 #chart-25, DStar, ACS, combine: 1
0 qid:10025 1:0 2:0 3:0 4:0 5:0.5 #chart-25, DStar, Nopol, combine: 2
0 qid:10025 1:0 2:0 3:0 4:0 5:0.5 #chart-25, DStar, SimFix, combine: 3
0 qid:10025 1:0 2:0 3:0 4:0 5:0.5 #chart-25, DStar, TBar, combine: 4
0 qid:10025 1:0 2:0 3:0 4:0 5:0.0 #chart-25, Jaccard, ACS, combine: 5
0 qid:10025 1:0 2:0 3:0 4:0 5:0.5 #chart-25, Jaccard, Nopol, combine: 6
0 qid:10025 1:0 2:0 3:0 4:0 5:0.5 #chart-25, Jaccard, SimFix, combine: 7
0 qid:10025 1:0 2:0 3:0 4:0 5:0.5 #chart-25, Jaccard, TBar, combine: 8
0 qid:10025 1:0 2:0 3:0 4:0 5:0.0 #chart-25, Ochiai, ACS, combine: 9
0 qid:10025 1:0 2:0 3:0 4:0 5:0.5 #chart-25, Ochiai, Nopol, combine: 10
0 qid:10025 1:0 2:0 3:0 4:0 5:0.5 #chart-25, Ochiai, SimFix, combine: 11
0 qid:10025 1:0 2:0 3:0 4:0 5:0.5 #chart-25, Ochiai, TBar, combine: 12
0 qid:10025 1:0 2:0 3:0 4:0 5:0.0 #chart-25, Tarantula, ACS, combine: 13
0 qid:10025 1:0 2:0 3:0 4:0 5:0.5 #chart-25, Tarantula, Nopol, combine: 14
0 qid:10025 1:0 2:0 3:0 4:0 5:0.5 #chart-25, Tarantula, SimFix, combine: 15
0 qid:10025 1:0 2:0 3:0 4:0 5:0.5 #chart-25, Tarantula, TBar, combine: 16
0 qid:10026 1:0 2:0 3:0 4:0 5:0.0 #chart-26, DStar, ACS, combine: 1
0 qid:10026 1:0 2:0 3:0 4:0 5:0.5 #chart-26, DStar, Nopol, combine: 2
0 qid:10026 1:0 2:0 3:0 4:0 5:0.0 #chart-26, DStar, SimFix, combine: 3
1 qid:10026 1:0 2:0 3:0 4:0 5:1.0 #chart-26, DStar, TBar, combine: 4
0 qid:10026 1:0 2:0 3:0 4:0 5:0.0 #chart-26, Jaccard, ACS, combine: 5
0 qid:10026 1:0 2:0 3:0 4:0 5:0.5 #chart-26, Jaccard, Nopol, combine: 6
0 qid:10026 1:0 2:0 3:0 4:0 5:0.0 #chart-26, Jaccard, SimFix, combine: 7
1 qid:10026 1:0 2:0 3:0 4:0 5:1.0 #chart-26, Jaccard, TBar, combine: 8
0 qid:10026 1:0 2:0 3:0 4:0 5:0.0 #chart-26, Ochiai, ACS, combine: 9
0 qid:10026 1:0 2:0 3:0 4:0 5:0.5 #chart-26, Ochiai, Nopol, combine: 10
0 qid:10026 1:0 2:0 3:0 4:0 5:0.0 #chart-26, Ochiai, SimFix, combine: 11
1 qid:10026 1:0 2:0 3:0 4:0 5:1.0 #chart-26, Ochiai, TBar, combine: 12
0 qid:10026 1:0 2:0 3:0 4:0 5:0.0 #chart-26, Tarantula, ACS, combine: 13
0 qid:10026 1:0 2:0 3:0 4:0 5:0.5 #chart-26, Tarantula, Nopol, combine: 14
0 qid:10026 1:0 2:0 3:0 4:0 5:0.0 #chart-26, Tarantula, SimFix, combine: 15
1 qid:10026 1:0 2:0 3:0 4:0 5:1.0 #chart-26, Tarantula, TBar, combine: 16
