20001 Q0 closure-1, Ample, TBar, combine: 4 1 1.0 indri
20001 Q0 closure-1, Anderberg, TBar, combine: 11 2 1.0 indri
20001 Q0 closure-1, ArithmeticMean, TBar, combine: 18 3 1.0 indri
20001 Q0 closure-1, BaroniUrbaniBuser, TBar, combine: 25 4 1.0 indri
20001 Q0 closure-1, BraunBanqust, TBar, combine: 32 5 1.0 indri
20001 Q0 closure-1, Cohen, TBar, combine: 39 6 1.0 indri
20001 Q0 closure-1, Dennis, TBar, combine: 46 7 1.0 indri
20001 Q0 closure-1, Dice, TBar, combine: 53 8 1.0 indri
20001 Q0 closure-1, Dstar, TBar, combine: 60 9 1.0 indri
20001 Q0 closure-1, Euclid, TBar, combine: 67 10 1.0 indri
20001 Q0 closure-1, Fleiss, TBar, combine: 74 11 1.0 indri
20001 Q0 closure-1, Fossum, TBar, combine: 81 12 1.0 indri
20001 Q0 closure-1, Goodman, TBar, combine: 88 13 1.0 indri
20001 Q0 closure-1, Gower, TBar, combine: 95 14 1.0 indri
20001 Q0 closure-1, GP13, TBar, combine: 102 15 1.0 indri
20001 Q0 closure-1, Hamann, TBar, combine: 109 16 1.0 indri
20001 Q0 closure-1, Hamming, TBar, combine: 116 17 1.0 indri
20001 Q0 closure-1, HarmonicMean, TBar, combine: 123 18 1.0 indri
20001 Q0 closure-1, Jaccard, TBar, combine: 130 19 1.0 indri
20001 Q0 closure-1, Kulczynski1, TBar, combine: 137 20 1.0 indri
20001 Q0 closure-1, Kulczynskil2, TBar, combine: 144 21 1.0 indri
20001 Q0 closure-1, M1, TBar, combine: 151 22 1.0 indri
20001 Q0 closure-1, M2, TBar, combine: 158 23 1.0 indri
20001 Q0 closure-1, Michael, TBar, combine: 165 24 1.0 indri
20001 Q0 closure-1, Mountford, TBar, combine: 172 25 1.0 indri
20001 Q0 closure-1, Ochiai, TBar, combine: 179 26 1.0 indri
20001 Q0 closure-1, Ochiai2, TBar, combine: 186 27 1.0 indri
20001 Q0 closure-1, Optimal, TBar, combine: 193 28 1.0 indri
20001 Q0 closure-1, OptimalP, TBar, combine: 200 29 1.0 indri
20001 Q0 closure-1, Overlap, TBar, combine: 207 30 1.0 indri
20001 Q0 closure-1, Phi, TBar, combine: 214 31 1.0 indri
20001 Q0 closure-1, Pierce, TBar, combine: 221 32 1.0 indri
20001 Q0 closure-1, RogersTanimoto, TBar, combine: 228 33 1.0 indri
20001 Q0 closure-1, Rogot1, TBar, combine: 235 34 1.0 indri
20001 Q0 closure-1, Rogot2, TBar, combine: 242 35 1.0 indri
20001 Q0 closure-1, RussellRao, TBar, combine: 249 36 1.0 indri
20001 Q0 closure-1, SBI, TBar, combine: 256 37 1.0 indri
20001 Q0 closure-1, Scott, TBar, combine: 263 38 1.0 indri
20001 Q0 closure-1, SimpleMatching, TBar, combine: 270 39 1.0 indri
20001 Q0 closure-1, Sokal, TBar, combine: 277 40 1.0 indri
20001 Q0 closure-1, SorensenDice, TBar, combine: 284 41 1.0 indri
20001 Q0 closure-1, Tarantula, TBar, combine: 291 42 1.0 indri
20001 Q0 closure-1, Tarwid, TBar, combine: 298 43 1.0 indri
20001 Q0 closure-1, Wong1, TBar, combine: 305 44 1.0 indri
20001 Q0 closure-1, Wong2, TBar, combine: 312 45 1.0 indri
20001 Q0 closure-1, Wong3, TBar, combine: 319 46 1.0 indri
20001 Q0 closure-1, Zoltar, TBar, combine: 326 47 1.0 indri
20001 Q0 closure-1, Ample, SimFix, combine: 3 48 0.00146 indri
20001 Q0 closure-1, Anderberg, SimFix, combine: 10 49 0.00146 indri
20001 Q0 closure-1, ArithmeticMean, SimFix, combine: 17 50 0.00146 indri
20001 Q0 closure-1, BaroniUrbaniBuser, SimFix, combine: 24 51 0.00146 indri
20001 Q0 closure-1, BraunBanqust, SimFix, combine: 31 52 0.00146 indri
20001 Q0 closure-1, Cohen, SimFix, combine: 38 53 0.00146 indri
20001 Q0 closure-1, Dennis, SimFix, combine: 45 54 0.00146 indri
20001 Q0 closure-1, Dice, SimFix, combine: 52 55 0.00146 indri
20001 Q0 closure-1, Dstar, SimFix, combine: 59 56 0.00146 indri
20001 Q0 closure-1, Euclid, SimFix, combine: 66 57 0.00146 indri
20001 Q0 closure-1, Fleiss, SimFix, combine: 73 58 0.00146 indri
20001 Q0 closure-1, Fossum, SimFix, combine: 80 59 0.00146 indri
20001 Q0 closure-1, Goodman, SimFix, combine: 87 60 0.00146 indri
20001 Q0 closure-1, Gower, SimFix, combine: 94 61 0.00146 indri
20001 Q0 closure-1, GP13, SimFix, combine: 101 62 0.00146 indri
20001 Q0 closure-1, Hamann, SimFix, combine: 108 63 0.00146 indri
20001 Q0 closure-1, Hamming, SimFix, combine: 115 64 0.00146 indri
20001 Q0 closure-1, HarmonicMean, SimFix, combine: 122 65 0.00146 indri
20001 Q0 closure-1, Jaccard, SimFix, combine: 129 66 0.00146 indri
20001 Q0 closure-1, Kulczynski1, SimFix, combine: 136 67 0.00146 indri
