Stetemnet: 37, Suspicious_Value: 1
Stetemnet: 38, Suspicious_Value: 1
Stetemnet: 125, Suspicious_Value: 0.905109
Stetemnet: 126, Suspicious_Value: 0.905109
Stetemnet: 7, Suspicious_Value: 0.781022
Stetemnet: 8, Suspicious_Value: 0.781022
Stetemnet: 9, Suspicious_Value: 0.781022
Stetemnet: 10, Suspicious_Value: 0.781022
Stetemnet: 11, Suspicious_Value: 0.781022
Stetemnet: 12, Suspicious_Value: 0.781022
Stetemnet: 13, Suspicious_Value: 0.781022
Stetemnet: 14, Suspicious_Value: 0.781022
Stetemnet: 15, Suspicious_Value: 0.781022
Stetemnet: 16, Suspicious_Value: 0.781022
Stetemnet: 6, Suspicious_Value: 0.59854
Stetemnet: 18, Suspicious_Value: 0.59854
Stetemnet: 21, Suspicious_Value: 0.59854
Stetemnet: 76, Suspicious_Value: 0.452555
Stetemnet: 77, Suspicious_Value: 0.452555
Stetemnet: 79, Suspicious_Value: 0.452555
Stetemnet: 80, Suspicious_Value: 0.452555
Stetemnet: 81, Suspicious_Value: 0.452555
Stetemnet: 82, Suspicious_Value: 0.452555
Stetemnet: 184, Suspicious_Value: 0.452555
Stetemnet: 210, Suspicious_Value: 0.452555
Stetemnet: 211, Suspicious_Value: 0.452555
Stetemnet: 212, Suspicious_Value: 0.452555
Stetemnet: 17, Suspicious_Value: 0.437956
Stetemnet: 19, Suspicious_Value: 0.437956
Stetemnet: 22, Suspicious_Value: 0.437956
Stetemnet: 86, Suspicious_Value: 0.437956
Stetemnet: 88, Suspicious_Value: 0.437956
Stetemnet: 90, Suspicious_Value: 0.437956
Stetemnet: 91, Suspicious_Value: 0.437956
Stetemnet: 93, Suspicious_Value: 0.437956
Stetemnet: 95, Suspicious_Value: 0.437956
Stetemnet: 96, Suspicious_Value: 0.437956
Stetemnet: 98, Suspicious_Value: 0.437956
Stetemnet: 99, Suspicious_Value: 0.437956
Stetemnet: 101, Suspicious_Value: 0.437956
Stetemnet: 110, Suspicious_Value: 0.437956
Stetemnet: 182, Suspicious_Value: 0.416058
Stetemnet: 183, Suspicious_Value: 0.416058
Stetemnet: 185, Suspicious_Value: 0.416058
Stetemnet: 102, Suspicious_Value: 0.394161
Stetemnet: 103, Suspicious_Value: 0.394161
Stetemnet: 104, Suspicious_Value: 0.394161
Stetemnet: 105, Suspicious_Value: 0.394161
Stetemnet: 108, Suspicious_Value: 0.394161
Stetemnet: 45, Suspicious_Value: 0.386861
Stetemnet: 172, Suspicious_Value: 0.335766
Stetemnet: 173, Suspicious_Value: 0.335766
Stetemnet: 23, Suspicious_Value: 0.321168
Stetemnet: 25, Suspicious_Value: 0.321168
Stetemnet: 27, Suspicious_Value: 0.321168
Stetemnet: 28, Suspicious_Value: 0.321168
Stetemnet: 30, Suspicious_Value: 0.321168
Stetemnet: 31, Suspicious_Value: 0.321168
Stetemnet: 33, Suspicious_Value: 0.321168
Stetemnet: 34, Suspicious_Value: 0.321168
Stetemnet: 35, Suspicious_Value: 0.321168
Stetemnet: 54, Suspicious_Value: 0.226277
Stetemnet: 55, Suspicious_Value: 0.226277
Stetemnet: 56, Suspicious_Value: 0.226277
Stetemnet: 57, Suspicious_Value: 0.226277
Stetemnet: 58, Suspicious_Value: 0.226277
Stetemnet: 59, Suspicious_Value: 0.226277
Stetemnet: 62, Suspicious_Value: 0.226277
Stetemnet: 63, Suspicious_Value: 0.226277
Stetemnet: 64, Suspicious_Value: 0.226277
Stetemnet: 65, Suspicious_Value: 0.226277
Stetemnet: 66, Suspicious_Value: 0.226277
Stetemnet: 70, Suspicious_Value: 0.226277
Stetemnet: 71, Suspicious_Value: 0.226277
Stetemnet: 72, Suspicious_Value: 0.226277
Stetemnet: 73, Suspicious_Value: 0.226277
Stetemnet: 74, Suspicious_Value: 0.226277
Stetemnet: 83, Suspicious_Value: 0.226277
Stetemnet: 153, Suspicious_Value: 0.226277
Stetemnet: 208, Suspicious_Value: 0.226277
Stetemnet: 209, Suspicious_Value: 0.226277
Stetemnet: 213, Suspicious_Value: 0.226277
Stetemnet: 214, Suspicious_Value: 0.226277
Stetemnet: 131, Suspicious_Value: 0.218978
Stetemnet: 169, Suspicious_Value: 0.218978
Stetemnet: 170, Suspicious_Value: 0.218978
Stetemnet: 132, Suspicious_Value: 0.189781
Stetemnet: 154, Suspicious_Value: 0.189781
Stetemnet: 155, Suspicious_Value: 0.189781
Stetemnet: 156, Suspicious_Value: 0.189781
Stetemnet: 157, Suspicious_Value: 0.189781
Stetemnet: 158, Suspicious_Value: 0.189781
Stetemnet: 67, Suspicious_Value: 0.182482
Stetemnet: 68, Suspicious_Value: 0.182482
Stetemnet: 69, Suspicious_Value: 0.182482
Stetemnet: 92, Suspicious_Value: 0.175182
Stetemnet: 106, Suspicious_Value: 0.175182
Stetemnet: 20, Suspicious_Value: 0.167883
Stetemnet: 115, Suspicious_Value: 0.131387
Stetemnet: 116, Suspicious_Value: 0.131387
