Stetemnet: 8951, Suspicious_Value: 1
Stetemnet: 3646, Suspicious_Value: 0.996132
Stetemnet: 4829, Suspicious_Value: 0.996132
Stetemnet: 4831, Suspicious_Value: 0.996132
Stetemnet: 4833, Suspicious_Value: 0.996132
Stetemnet: 4834, Suspicious_Value: 0.996132
Stetemnet: 4835, Suspicious_Value: 0.996132
Stetemnet: 4836, Suspicious_Value: 0.996132
Stetemnet: 4837, Suspicious_Value: 0.996132
Stetemnet: 4838, Suspicious_Value: 0.996132
Stetemnet: 4839, Suspicious_Value: 0.996132
Stetemnet: 4841, Suspicious_Value: 0.996132
Stetemnet: 4847, Suspicious_Value: 0.996132
Stetemnet: 4848, Suspicious_Value: 0.996132
Stetemnet: 4849, Suspicious_Value: 0.996132
Stetemnet: 4850, Suspicious_Value: 0.996132
Stetemnet: 4856, Suspicious_Value: 0.996132
Stetemnet: 4930, Suspicious_Value: 0.996132
Stetemnet: 4931, Suspicious_Value: 0.996132
Stetemnet: 4933, Suspicious_Value: 0.996132
Stetemnet: 4934, Suspicious_Value: 0.996132
Stetemnet: 4935, Suspicious_Value: 0.996132
Stetemnet: 4936, Suspicious_Value: 0.996132
Stetemnet: 4937, Suspicious_Value: 0.996132
Stetemnet: 4938, Suspicious_Value: 0.996132
Stetemnet: 4939, Suspicious_Value: 0.996132
Stetemnet: 4940, Suspicious_Value: 0.996132
Stetemnet: 4941, Suspicious_Value: 0.996132
Stetemnet: 4942, Suspicious_Value: 0.996132
Stetemnet: 4947, Suspicious_Value: 0.996132
Stetemnet: 4948, Suspicious_Value: 0.996132
Stetemnet: 4949, Suspicious_Value: 0.996132
Stetemnet: 4960, Suspicious_Value: 0.996132
Stetemnet: 4961, Suspicious_Value: 0.996132
Stetemnet: 5184, Suspicious_Value: 0.996132
Stetemnet: 5185, Suspicious_Value: 0.996132
Stetemnet: 5186, Suspicious_Value: 0.996132
Stetemnet: 5214, Suspicious_Value: 0.996132
Stetemnet: 5215, Suspicious_Value: 0.996132
Stetemnet: 5217, Suspicious_Value: 0.996132
Stetemnet: 5223, Suspicious_Value: 0.996132
Stetemnet: 5547, Suspicious_Value: 0.996132
Stetemnet: 5548, Suspicious_Value: 0.996132
Stetemnet: 8433, Suspicious_Value: 0.996132
Stetemnet: 8434, Suspicious_Value: 0.996132
Stetemnet: 8435, Suspicious_Value: 0.996132
Stetemnet: 8436, Suspicious_Value: 0.996132
Stetemnet: 8437, Suspicious_Value: 0.996132
Stetemnet: 8439, Suspicious_Value: 0.996132
Stetemnet: 8453, Suspicious_Value: 0.996132
Stetemnet: 8454, Suspicious_Value: 0.996132
Stetemnet: 8455, Suspicious_Value: 0.996132
Stetemnet: 8456, Suspicious_Value: 0.996132
Stetemnet: 8458, Suspicious_Value: 0.996132
Stetemnet: 8503, Suspicious_Value: 0.996132
Stetemnet: 8504, Suspicious_Value: 0.996132
Stetemnet: 8505, Suspicious_Value: 0.996132
Stetemnet: 8506, Suspicious_Value: 0.996132
Stetemnet: 8508, Suspicious_Value: 0.996132
Stetemnet: 8522, Suspicious_Value: 0.996132
Stetemnet: 8523, Suspicious_Value: 0.996132
Stetemnet: 8524, Suspicious_Value: 0.996132
Stetemnet: 8526, Suspicious_Value: 0.996132
Stetemnet: 8669, Suspicious_Value: 0.996132
Stetemnet: 8670, Suspicious_Value: 0.996132
Stetemnet: 8671, Suspicious_Value: 0.996132
Stetemnet: 8672, Suspicious_Value: 0.996132
Stetemnet: 8673, Suspicious_Value: 0.996132
Stetemnet: 8674, Suspicious_Value: 0.996132
Stetemnet: 8675, Suspicious_Value: 0.996132
Stetemnet: 8683, Suspicious_Value: 0.996132
Stetemnet: 8909, Suspicious_Value: 0.996132
Stetemnet: 8911, Suspicious_Value: 0.996132
Stetemnet: 8918, Suspicious_Value: 0.996132
Stetemnet: 8919, Suspicious_Value: 0.996132
Stetemnet: 8921, Suspicious_Value: 0.996132
Stetemnet: 8922, Suspicious_Value: 0.996132
Stetemnet: 8923, Suspicious_Value: 0.996132
Stetemnet: 8924, Suspicious_Value: 0.996132
Stetemnet: 8925, Suspicious_Value: 0.996132
Stetemnet: 8926, Suspicious_Value: 0.996132
Stetemnet: 8927, Suspicious_Value: 0.996132
Stetemnet: 8929, Suspicious_Value: 0.996132
Stetemnet: 8936, Suspicious_Value: 0.996132
Stetemnet: 8937, Suspicious_Value: 0.996132
Stetemnet: 8938, Suspicious_Value: 0.996132
Stetemnet: 8939, Suspicious_Value: 0.996132
Stetemnet: 8940, Suspicious_Value: 0.996132
Stetemnet: 8941, Suspicious_Value: 0.996132
Stetemnet: 8942, Suspicious_Value: 0.996132
Stetemnet: 8943, Suspicious_Value: 0.996132
Stetemnet: 8944, Suspicious_Value: 0.996132
Stetemnet: 8945, Suspicious_Value: 0.996132
Stetemnet: 8946, Suspicious_Value: 0.996132
Stetemnet: 8947, Suspicious_Value: 0.996132
Stetemnet: 8948, Suspicious_Value: 0.996132
Stetemnet: 8950, Suspicious_Value: 0.996132
Stetemnet: 8952, Suspicious_Value: 0.996132
Stetemnet: 8953, Suspicious_Value: 0.996132
Stetemnet: 8954, Suspicious_Value: 0.996132
