Stetemnet: 330, Suspicious_Value: 1
Stetemnet: 331, Suspicious_Value: 1
Stetemnet: 332, Suspicious_Value: 1
Stetemnet: 334, Suspicious_Value: 1
Stetemnet: 335, Suspicious_Value: 1
Stetemnet: 336, Suspicious_Value: 1
Stetemnet: 338, Suspicious_Value: 1
Stetemnet: 339, Suspicious_Value: 1
Stetemnet: 337, Suspicious_Value: 0.75
Stetemnet: 279, Suspicious_Value: 0.582278
Stetemnet: 5, Suspicious_Value: 0.572785
Stetemnet: 6, Suspicious_Value: 0.572785
Stetemnet: 7, Suspicious_Value: 0.572785
Stetemnet: 8, Suspicious_Value: 0.572785
Stetemnet: 38, Suspicious_Value: 0.572785
Stetemnet: 39, Suspicious_Value: 0.572785
Stetemnet: 40, Suspicious_Value: 0.572785
Stetemnet: 1, Suspicious_Value: 0.551688
Stetemnet: 2, Suspicious_Value: 0.551688
Stetemnet: 3, Suspicious_Value: 0.551688
Stetemnet: 14, Suspicious_Value: 0.527426
Stetemnet: 15, Suspicious_Value: 0.527426
Stetemnet: 138, Suspicious_Value: 0.527426
Stetemnet: 20, Suspicious_Value: 0.505274
Stetemnet: 21, Suspicious_Value: 0.505274
Stetemnet: 22, Suspicious_Value: 0.505274
Stetemnet: 23, Suspicious_Value: 0.505274
Stetemnet: 26, Suspicious_Value: 0.505274
Stetemnet: 226, Suspicious_Value: 0.5
Stetemnet: 227, Suspicious_Value: 0.5
Stetemnet: 228, Suspicious_Value: 0.5
Stetemnet: 229, Suspicious_Value: 0.5
Stetemnet: 230, Suspicious_Value: 0.5
Stetemnet: 231, Suspicious_Value: 0.5
Stetemnet: 232, Suspicious_Value: 0.5
Stetemnet: 61, Suspicious_Value: 0.459916
Stetemnet: 139, Suspicious_Value: 0.459916
Stetemnet: 302, Suspicious_Value: 0.440928
Stetemnet: 294, Suspicious_Value: 0.432489
Stetemnet: 295, Suspicious_Value: 0.432489
Stetemnet: 286, Suspicious_Value: 0.42616
Stetemnet: 140, Suspicious_Value: 0.413502
Stetemnet: 141, Suspicious_Value: 0.413502
Stetemnet: 142, Suspicious_Value: 0.409283
Stetemnet: 143, Suspicious_Value: 0.409283
Stetemnet: 144, Suspicious_Value: 0.409283
Stetemnet: 145, Suspicious_Value: 0.409283
Stetemnet: 146, Suspicious_Value: 0.409283
Stetemnet: 147, Suspicious_Value: 0.409283
Stetemnet: 62, Suspicious_Value: 0.392405
Stetemnet: 63, Suspicious_Value: 0.35443
Stetemnet: 58, Suspicious_Value: 0.273207
Stetemnet: 59, Suspicious_Value: 0.273207
Stetemnet: 60, Suspicious_Value: 0.273207
Stetemnet: 298, Suspicious_Value: 0.261603
Stetemnet: 300, Suspicious_Value: 0.261603
Stetemnet: 301, Suspicious_Value: 0.261603
Stetemnet: 304, Suspicious_Value: 0.261603
Stetemnet: 305, Suspicious_Value: 0.261603
Stetemnet: 306, Suspicious_Value: 0.261603
Stetemnet: 307, Suspicious_Value: 0.261603
Stetemnet: 281, Suspicious_Value: 0.257384
Stetemnet: 283, Suspicious_Value: 0.257384
Stetemnet: 284, Suspicious_Value: 0.257384
Stetemnet: 285, Suspicious_Value: 0.257384
Stetemnet: 99, Suspicious_Value: 0.25
Stetemnet: 100, Suspicious_Value: 0.25
Stetemnet: 101, Suspicious_Value: 0.25
Stetemnet: 333, Suspicious_Value: 0.25
Stetemnet: 325, Suspicious_Value: 0.245781
Stetemnet: 326, Suspicious_Value: 0.245781
Stetemnet: 327, Suspicious_Value: 0.245781
Stetemnet: 328, Suspicious_Value: 0.245781
Stetemnet: 329, Suspicious_Value: 0.245781
Stetemnet: 292, Suspicious_Value: 0.233122
Stetemnet: 293, Suspicious_Value: 0.233122
Stetemnet: 273, Suspicious_Value: 0.219409
Stetemnet: 274, Suspicious_Value: 0.219409
Stetemnet: 275, Suspicious_Value: 0.219409
Stetemnet: 276, Suspicious_Value: 0.219409
Stetemnet: 277, Suspicious_Value: 0.219409
Stetemnet: 148, Suspicious_Value: 0.202532
Stetemnet: 71, Suspicious_Value: 0.18038
Stetemnet: 72, Suspicious_Value: 0.18038
Stetemnet: 73, Suspicious_Value: 0.18038
Stetemnet: 64, Suspicious_Value: 0.177215
Stetemnet: 132, Suspicious_Value: 0.128692
Stetemnet: 133, Suspicious_Value: 0.128692
Stetemnet: 134, Suspicious_Value: 0.128692
Stetemnet: 135, Suspicious_Value: 0.128692
Stetemnet: 136, Suspicious_Value: 0.128692
Stetemnet: 137, Suspicious_Value: 0.128692
Stetemnet: 176, Suspicious_Value: 0.128692
Stetemnet: 24, Suspicious_Value: 0.126582
Stetemnet: 25, Suspicious_Value: 0.126582
Stetemnet: 160, Suspicious_Value: 0.0970464
Stetemnet: 162, Suspicious_Value: 0.0970464
Stetemnet: 164, Suspicious_Value: 0.0970464
Stetemnet: 166, Suspicious_Value: 0.0970464
Stetemnet: 167, Suspicious_Value: 0.0970464
