Stetemnet: 51, Suspicious_Value: 1
Stetemnet: 52, Suspicious_Value: 1
Stetemnet: 53, Suspicious_Value: 1
Stetemnet: 1, Suspicious_Value: 0
Stetemnet: 2, Suspicious_Value: 0
Stetemnet: 3, Suspicious_Value: 0
Stetemnet: 4, Suspicious_Value: 0
Stetemnet: 5, Suspicious_Value: 0
Stetemnet: 6, Suspicious_Value: 0
Stetemnet: 7, Suspicious_Value: 0
Stetemnet: 8, Suspicious_Value: 0
Stetemnet: 9, Suspicious_Value: 0
Stetemnet: 10, Suspicious_Value: 0
Stetemnet: 11, Suspicious_Value: 0
Stetemnet: 12, Suspicious_Value: 0
Stetemnet: 13, Suspicious_Value: 0
Stetemnet: 14, Suspicious_Value: 0
Stetemnet: 15, Suspicious_Value: 0
Stetemnet: 16, Suspicious_Value: 0
Stetemnet: 17, Suspicious_Value: 0
Stetemnet: 18, Suspicious_Value: 0
Stetemnet: 19, Suspicious_Value: 0
Stetemnet: 20, Suspicious_Value: 0
Stetemnet: 21, Suspicious_Value: 0
Stetemnet: 22, Suspicious_Value: 0
Stetemnet: 23, Suspicious_Value: 0
Stetemnet: 24, Suspicious_Value: 0
Stetemnet: 25, Suspicious_Value: 0
Stetemnet: 26, Suspicious_Value: 0
Stetemnet: 27, Suspicious_Value: 0
Stetemnet: 28, Suspicious_Value: 0
Stetemnet: 29, Suspicious_Value: 0
Stetemnet: 30, Suspicious_Value: 0
Stetemnet: 31, Suspicious_Value: 0
Stetemnet: 32, Suspicious_Value: 0
Stetemnet: 33, Suspicious_Value: 0
Stetemnet: 34, Suspicious_Value: 0
Stetemnet: 35, Suspicious_Value: 0
Stetemnet: 36, Suspicious_Value: 0
Stetemnet: 37, Suspicious_Value: 0
Stetemnet: 38, Suspicious_Value: 0
Stetemnet: 39, Suspicious_Value: 0
Stetemnet: 40, Suspicious_Value: 0
Stetemnet: 41, Suspicious_Value: 0
Stetemnet: 42, Suspicious_Value: 0
Stetemnet: 43, Suspicious_Value: 0
Stetemnet: 44, Suspicious_Value: 0
Stetemnet: 45, Suspicious_Value: 0
Stetemnet: 46, Suspicious_Value: 0
Stetemnet: 47, Suspicious_Value: 0
Stetemnet: 48, Suspicious_Value: 0
Stetemnet: 49, Suspicious_Value: 0
Stetemnet: 50, Suspicious_Value: 0
