Top: 1, Stetemnet: 2433, Suspicious_Value: 1
Top: 2, Stetemnet: 3747, Suspicious_Value: 0.990632
Top: 2, Stetemnet: 3748, Suspicious_Value: 0.990632
Top: 3, Stetemnet: 3753, Suspicious_Value: 0.983607
Top: 3, Stetemnet: 3754, Suspicious_Value: 0.983607
Top: 3, Stetemnet: 3756, Suspicious_Value: 0.983607
Top: 3, Stetemnet: 3757, Suspicious_Value: 0.983607
Top: 3, Stetemnet: 3758, Suspicious_Value: 0.983607
Top: 3, Stetemnet: 3759, Suspicious_Value: 0.983607
Top: 3, Stetemnet: 3760, Suspicious_Value: 0.983607
Top: 3, Stetemnet: 3761, Suspicious_Value: 0.983607
Top: 3, Stetemnet: 3762, Suspicious_Value: 0.983607
Top: 3, Stetemnet: 3763, Suspicious_Value: 0.983607
Top: 3, Stetemnet: 3764, Suspicious_Value: 0.983607
Top: 4, Stetemnet: 3426, Suspicious_Value: 0.969555
Top: 4, Stetemnet: 3427, Suspicious_Value: 0.969555
Top: 5, Stetemnet: 3667, Suspicious_Value: 0.967213
Top: 5, Stetemnet: 3668, Suspicious_Value: 0.967213
Top: 6, Stetemnet: 3674, Suspicious_Value: 0.95082
Top: 7, Stetemnet: 3590, Suspicious_Value: 0.948478
Top: 7, Stetemnet: 3591, Suspicious_Value: 0.948478
Top: 7, Stetemnet: 3669, Suspicious_Value: 0.948478
Top: 7, Stetemnet: 3670, Suspicious_Value: 0.948478
Top: 7, Stetemnet: 3672, Suspicious_Value: 0.948478
Top: 7, Stetemnet: 3673, Suspicious_Value: 0.948478
Top: 7, Stetemnet: 3675, Suspicious_Value: 0.948478
Top: 7, Stetemnet: 3676, Suspicious_Value: 0.948478
Top: 7, Stetemnet: 3677, Suspicious_Value: 0.948478
Top: 8, Stetemnet: 6281, Suspicious_Value: 0.936768
Top: 8, Stetemnet: 6282, Suspicious_Value: 0.936768
Top: 9, Stetemnet: 2431, Suspicious_Value: 0.913349
Top: 9, Stetemnet: 2432, Suspicious_Value: 0.913349
Top: 9, Stetemnet: 2434, Suspicious_Value: 0.913349
Top: 9, Stetemnet: 2435, Suspicious_Value: 0.913349
Top: 9, Stetemnet: 2436, Suspicious_Value: 0.913349
Top: 9, Stetemnet: 2437, Suspicious_Value: 0.913349
Top: 9, Stetemnet: 3775, Suspicious_Value: 0.913349
Top: 10, Stetemnet: 225, Suspicious_Value: 0.899297
Top: 10, Stetemnet: 226, Suspicious_Value: 0.899297
Top: 11, Stetemnet: 6283, Suspicious_Value: 0.882904
Top: 11, Stetemnet: 6284, Suspicious_Value: 0.882904
Top: 11, Stetemnet: 6285, Suspicious_Value: 0.882904
Top: 11, Stetemnet: 6286, Suspicious_Value: 0.882904
Top: 11, Stetemnet: 6287, Suspicious_Value: 0.882904
Top: 11, Stetemnet: 6288, Suspicious_Value: 0.882904
Top: 11, Stetemnet: 6289, Suspicious_Value: 0.882904
Top: 11, Stetemnet: 6290, Suspicious_Value: 0.882904
Top: 11, Stetemnet: 6291, Suspicious_Value: 0.882904
Top: 11, Stetemnet: 6292, Suspicious_Value: 0.882904
Top: 11, Stetemnet: 6293, Suspicious_Value: 0.882904
